Deal Status,Customer ID,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,PT Status,PT Serial ,Encore Serial,Moving,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,117278 ,Truck,2023,579 Sleeper Truck,878373,  Available,66.67%,1x passtime,Driving Disabled.,Enabled,66715336,83121189,1,2025-12-05 02:36:00,PA,Cooper Township, 44515,41.122403,-77.784192
ACTIVE,120395 ,Truck,2022,Cascadia PT126SLP,MZ7057,  Available,62.50%,1x passtime,Disconected,Enabled,66712258,83221546,1,2025-12-05 06:46:00,OH,Monroe, 45044,39.4388366,-84.3229311
ACTIVE,122525 ,Truck,2023,W-900,404387,  Available,69.05%,Fully Working,Properly working,Enabled,66726607,83237333,1,2025-12-04 23:10:00,IN,Plainfield, 46214,39.7783012,-86.297139
ACTIVE,124784 ,SUV,2021,Expedition Max,A25263,  Available,75.00%,1x encore,Never installed,Enabled,26719104,83221498,1,2025-12-05 03:48:00,NY,South Richmond Hill, 11419,40.689597,-73.827468
ACTIVE,129630 ,Truck,2020,LT625 Sleeper,142318,  Available,60.00%,Fully Working,Properly working,Enabled,66726588,83236542,1,2025-12-05 08:18:00,CA,Palmdale, 93551,34.657165,-118.12015
ACTIVE,129958 ,Truck,2020,Cascadia PT125SLP,KS3777,  Available,63.89%,Fully Working,Properly working,Enabled,26714081,82126648 / 83236014,-1,2025-12-05 07:43:00,CA,Stockton, 95380,37.900665,-120.801622
ACTIVE,130031 ,Sedan,2023,Model Y,907471,  Available,45.19%,Fully Working,Properly working,"",,83641005,-1,2025-12-05 08:07:00,NY,New York, 10456,40.827943,-73.914308
ACTIVE,130186 ,Sedan,2023,Model Y,921871,  Available,44.23%,1x passtime,Never installed,"",,84321729,1,2025-12-05 08:02:00,NY,New York, 11226,40.678695,-73.953672
ACTIVE,130301 ,Trailer,2022,Dry Van,306009,  Available,63.89%,Fully Working,Properly working,"",,84321708,1,2025-12-05 04:32:00,IL,Yorkville, 60512,41.699837,-88.446585
ACTIVE,130564 ,Trailer,2020,W/Carrier 7300X Reefer,160385,  Out for Repo,33.33%,Fully Working,Properly working,"",,84090966,1,2025-12-05 09:35:00,OK,Ottawa County, 74363,36.928047,-94.73431
ACTIVE,130564 ,Truck,2019,Cascadia PT126SLP,KD2303,  Out for Repo,50.00%,1x passtime,Removed from vehicle,Enabled,26737359,82144590,-1,2025-12-03 15:46:00,UT,West Valley City, 84120,40.71951,-112.021377
ACTIVE,130748 ,Truck,2020,Cascadia PT126SLP,LM4994,  Available,61.11%,Fully Working,Properly working,Enabled,66726054,83236023,1,2025-12-05 04:45:00,MS,Mobile County, 39532,30.486293,-81.574577
ACTIVE,131049 ,Truck,2020,Cascadia,LR4795,  Available,70.00%,Fully Working,Properly working,Enabled,26714095,83223214,1,2025-12-05 05:01:00,NY,Brookville, 15825,41.171558,-79.095558
ACTIVE,131399 ,Truck,2020,Cascadia PT126SLP,MC0020,  Available,66.63%,Fully Working,Properly working,Disabled,26704413,84028511,1,2025-12-05 01:42:00,PA,Manchester, 45309,40.027018,-76.744507
ACTIVE,131626 ,Truck,2019,International,091217,  Available,87.50%,"1x passtime
1x encore","1x Driving disabled
1x Never installed",Enabled,26714134,83611408,1,2025-12-04 21:44:00,CA,Placer County, 95650,38.830035,-121.173032
ACTIVE,131813 ,Truck,2021,Cascadia PT126SLP,MC1055,  Available,66.67%,Fully Working,Properly working,Enabled,26714093,84028458,-1,2025-12-05 08:30:00,OR,Yuba City, 95991,42.412305,-121.61083
ACTIVE,131910 ,Truck,2022,T680 Sleeper Truck,127275,  Available,41.67%,Fully Working,Properly working,Enabled,66702583,82139187/83641407,1,2025-12-05 08:51:00,PA,Upper Macungie Township, 18054,40.559858,-75.40218
ACTIVE,132247 ,Trailer,2013,53 Foot Refrigerated,703800,  Available,79.17%,Fully Working,Properly working,"",,83642353,1,2025-12-05 00:25:00,NY,Montgomery, 12549,41.4965144,-74.237662
ACTIVE,132324 ,Truck,2019,T680 Sleeper Truck,292028,  Available,79.17%,Fully Working,Properly working,Enabled,26714014,84055644,1,2025-12-05 06:42:00,UT,Weld County, 89820,40.72006,-104.866243
ACTIVE,132836 ,Truck,2018,Cascadia PT126SLP,JW4046,  Available,75.00%,1x passtime,Disconnected,Enabled,26704406,84027695,1,2025-12-05 01:37:00,AZ,Kingman, 86401,35.144228,-114.094627
ACTIVE,133519 ,Truck,2020,International,180591,  Available,50.00%,Fully Working,Properly working,Enabled,26704464,84056300,-1,2025-12-05 06:01:00,CA,Stockton, 95205,37.962223,-121.267155
ACTIVE,133696 ,Truck,2020,Cascadia 125 SL,LP1291,  Available,56.67%,Fully Working,Properly working,Enabled,66277825,83217745,1,2025-12-04 21:23:00,OR,Wilsonville, 97070,45.317405,-121.395458
ACTIVE,133959 ,Truck,2020,LT625 Sleeper,182797,  Out for Repo,53.28%,All,Driving disabled,Disabled,66743565,84090838,1,2025-12-05 03:15:00,CA,Fresno County, 93725,36.696505,-119.717042
ACTIVE,133959 ,Truck,2020,LT625 Sleeper,360982,  Out for Repo,56.67%,1x encore,Removed from vehicle,Disabled,66743548,84090973,1,2025-12-05 08:41:00,TX,Newberry Springs, 79201,34.829155,-100.23165
ACTIVE,134053 ,Truck,2021,Cascadia,MC1284,  Available,44.44%,Fully Working,Properly working,Enabled,66743558,84091004,1,2025-12-05 05:15:00,MO,Sullivan, 63080,38.2257,-85.731027
ACTIVE,134071 ,Truck,2021,Cascadia PT126SLP,MC0487,  Available,35.42%,Fully Working,Properly working,Enabled,26714086,84028468,1,2025-12-04 23:59:00,NM,Manuelito, 86001,35.416415,-108.993125
ACTIVE,134110 ,Truck,2021,Cascadia PT126SLP,MV0550,  Available,53.33%,2x encores,Removed from vehicle,Enabled,66743553,84091073,1,2025-12-05 02:32:00,CA,Commerce, 90040,33.985967,-118.161963
ACTIVE,134211 ,Truck,2021,Cascadia,MF6625,  Available,53.33%,Fully Working,Properly working,Enabled,26737236,84091019,1,2025-12-05 08:02:00,PA,South Londonderry, 17078,40.226917,-76.08003
ACTIVE,134283 ,Truck,2022,Reefer Carrier X5 7500,027270,  Available,51.54%,Fully Working,Properly working,"",,84437061,1,2025-12-05 00:39:00,NC,Gaston County, 28016,35.265208,-81.259628
ACTIVE,134356 ,Truck,2020,Cascadia,LN2414,  Available,43.33%,2x encores,Removed from vehicle,Enabled,26736788,84230114,1,2025-12-04 19:42:00,AZ,Winslow, 86047,35.016703,-110.674252
ACTIVE,134356 ,Truck,2020,Cascadia PT126SLP,LP8403,  Available,49.96%,Fully Working,Properly working,Enabled,26737336,84091091,1,2025-12-05 07:36:00,CA,Stanislaus County, 90230,37.369023,-118.414795
ACTIVE,134459 ,Truck,2022,Cascadia PT126SLP,NE3887,  Available,62.50%,Fully Working,Properly working,Enabled,26737332,84091078,1,2025-12-05 02:01:00,NY,Town of Goshen,6-3405,41.388477,-73.545655
ACTIVE,134666 ,Truck,2021,VNL760 Sleeper,268562,  Available,50.00%,"1x passtime
1x encore",Removed from vehicle,Enabled,26736171,84091185,1,2025-12-05 04:10:00,CA,Nyack, 95701,39.292157,-120.685962
ACTIVE,134744 ,Trailer,2022,Reefer W/S-600 TK Unit,408211,  Available,41.67%,Fully Working,Properly working,"",,84090821,1,2025-12-05 06:19:00,IN,Shelbyville, 46176,39.588883,-85.810625
ACTIVE,134770 ,Truck,2020,Peterbilt 579 Sleeper Truck,689026,  Available,62.50%,Fully Working,Properly working,Enabled,26736698,84230214,-1,2025-12-05 08:06:00,WV,Inwood, 25413,39.29679,-78.079672
ACTIVE,134789 ,Truck,2021,Cascadia PT126SLP,MA7393,  Available,50.00%,Fully Working,Properly working,Enabled,66702578,84230260,1,2025-12-05 08:05:00,WV,Hazelton, 26525,40.065423,-79.456355
ACTIVE,134797 ,Truck,2019,Cascadia,JY8624,  Available,62.50%,Fully Working,Properly working,Enabled,26704858,83611758,1,2025-12-05 01:57:00,WY,Sweetwater County, 89506,41.706323,-107.826237
ACTIVE,134846 ,SUV,2024,XT6,738325,  Available,38.89%,1x passtime,Disconnected,Enabled,26736682,84230276,-1,2025-12-05 04:44:00,NJ,Clifton, 07011,40.888587,-74.150623
ACTIVE,134847 ,Truck,2022,T680 Tractor,496241,  Available,60.96%,1x passtime,Disconnected,Enabled,26736720,84230288,1,2025-12-05 09:36:00,CA,Yuba City, 95838,39.137822,-121.449967
ACTIVE,134858 ,Truck,2019,Cascadia PT126SLP,KD2241,  Available,46.67%,Fully Working,Properly working,Enabled,26714151,82144820,1,2025-12-05 08:23:00,CA,Oklahoma City, 92363,35.501367,-97.812077
ACTIVE,134928 ,Truck,2022,Cascadia PT126SLP,MZ6817,  Available,58.33%,Fully Working,Properly working,Enabled,26737352,82217717,1,2025-12-05 08:00:00,ME,South Portland, 04106,43.621138,-70.290467
ACTIVE,134949 ,Truck,2018,Cascadia PT126SLP,JW4076,  Available,58.33%,Fully Working,Properly working,Enabled,66743539,84230227,1,2025-12-05 08:20:00,NE,York, 68467,40.817557,-97.600282
ACTIVE,134985 ,Truck,2021,Cascadia PT126SLP,MC0677,  Available,43.33%,1x passtime,Driving disabled,Disabled,26736695,84230120,-1,2025-12-05 06:26:00,CA,Kern County, 93307,35.193242,-119.005437
ACTIVE,134985 ,Truck,2021,Cascadia PT126SLP,MC0980,  Available,43.33%,Fully Working,Properly working,Disabled,66771869,84276269,1,2025-12-05 09:02:00,NM,Santa Rosa, 65270,39.451173,-92.41837
ACTIVE,135121 ,Truck,2020,T680 Sleeper Truck,221462,  Available,54.17%,1x passtime,Driving disabled,Disabled,66752151,84437143,1,2025-12-05 09:31:00,NE,New York, 11356,40.781077,-73.82822
ACTIVE,135125 ,Truck,2022,T880,496550,  Available,36.11%,Fully Working,Properly working,Enabled,26714002,84056605,-1,2025-12-05 02:10:00,NJ,Oakland, 07436,41.0236,-74.258428
ACTIVE,135249 ,Truck,2019,Cascadia,KJ0493,  Available,54.17%,1x passtime,Driving disabled,Enabled,26736711,84230136,1,2025-12-05 08:36:00,MO,Joplin, 64804,37.066795,-94.407585
ACTIVE,135440 ,SUV,2024,Escalade,197049,  Available,27.88%,1x passtime,Driving disabled,Enabled,66752502,84230270,-1,2025-12-05 03:59:00,NJ,Ridgewood, 07621,40.985867,-73.986947
ACTIVE,135484 ,Truck,2022,T680 Sleeper Truck,171892,  Available,36.11%,Fully Working,Properly working,Enabled,26736157,84090959/ 84090988,1,2025-12-04 22:37:00,CA,San Bernardino County,A  USA,34.8526,-114.146737
ACTIVE,135569 ,Truck,2022,VNL 860 Sleeper,601391,  Available,43.33%,Fully Working,Properly working,Enabled,66752156,84230044,1,2025-12-05 06:55:00,IL,Markham, 60007,42.057897,-87.668798
ACTIVE,135590 ,Truck,2022,Cascadia,NE3791,  Available,43.33%,Fully Working,Properly working,Enabled,66770564,84230038,1,2025-12-05 05:44:00,AZ,Yuma, 85365,32.67358,-114.580502
ACTIVE,135641 ,Trailer,2017,Refeer,004349,  Available,43.33%,Fully Working,Properly working,"",,84230109,1,2025-12-05 06:50:00,TX,Childress, 79201,34.435785,-100.23156
ACTIVE,135641 ,Truck,2021,LT625 Sleeper,686828,  Available,43.33%,Fully Working,Properly working,Enabled,66743644,84230221,1,2025-12-05 08:03:00,AZ,Mohave County, 86404,34.728805,-114.31454
ACTIVE,135684 ,Truck,2021,Cascadia PT126SLP,MP4539,  Available,54.17%,1x encore,Removed from vehicle,Enabled,66752164,83217333,1,2025-12-05 03:58:00,GA,San Dimas, 92407,35.001728,-85.38554
ACTIVE,135717 ,Truck,2018,Cascadia,JR0413,  Available,45.83%,Fully Working,Properly working,Enabled,26736966,84308280,1,2025-12-05 05:09:00,CA,San Bernardino County, 92332,35.015103,-114.134202
ACTIVE,135717 ,Truck,2018,Cascadia,JR1073,  Available,50.00%,Fully Working,Properly working,Enabled,26736739,84230261,1,2025-12-04 22:51:00,AK,Elwood, 66090,39.753077,-94.884082
ACTIVE,135718 ,Truck,2021,Cascadia PT126SLP,LC7257,  Available,39.97%,Fully Working,Properly working,Enabled,66752150,84230283,1,2025-12-05 07:11:00,OH,Sayreville, 08837,40.492195,-74.368808
ACTIVE,135815 ,Truck,2021,Cascadia PT126SLP,MZ1641,  Available,40.00%,Fully Working,Properly working,Enabled,26736786,84230230,1,2025-12-05 09:20:00,PA,Marshall Township, 16046,40.663877,-80.109097
ACTIVE,135843 ,Truck,2018,Casscadia EVO,JH1174,  Available,61.11%,Fully Working,Properly working,Enabled,26737333,84056622,1,2025-12-05 04:45:00,NJ,South River, 08882,40.435132,-74.363855
ACTIVE,135876 ,Truck,2020,Cascadia PT126SLP,LX5283,  Available,50.00%,1x passtime,Driving disabled,Enabled,26736437,84230255,1,2025-12-05 09:37:00,UT,Salt Lake City, 93706,40.738627,-111.996158
ACTIVE,135876 ,Truck,2022,Cascadia PT126SLP,NS3258,  Available,6.29%,1x passtime,Disconnected,Disabled,66762235,84321697,1,2025-12-05 08:05:00,FL,Osceola County, 34739,30.616093,-81.116488
ACTIVE,135897 ,Truck,2020,Cascadia PT126SLP,LW7683,  Available,40.00%,Fully Working,Properly working,Enabled,26736811,84230284,1,2025-12-05 05:34:00,IN,Greenfield, 46140,39.82053,-85.917803
ACTIVE,135930 ,Truck,2022,Cascadia PT126SLP,NB8512,  Available,40.00%,1x encore,no signal,Enabled,26736781,83222200,1,2025-12-05 06:32:00,TX,Torrance County, 87035,35.00477,-100.586182
ACTIVE,136158 ,Truck,2022,Cascadia PT126SLP,MX0842,  Available,40.00%,Fully Working,Properly working,Enabled,26736776,84308241,1,2025-12-05 07:51:00,AR,Clear Brook, 22624,39.294367,-78.080465
ACTIVE,136229 ,Truck,2020,Cascadia PT126SLP,LT8491,  Out for Repo,37.50%,1x encore,1x unmounted,Disabled,26736799,84308331,-1,2025-12-05 03:57:00,CA,Ceres, 95307,37.56356,-120.921137
ACTIVE,136268 ,Truck,2021,Cascadia PT126SLP,MS0399,  Available,45.83%,1x passtime,Driving disabled,Enabled,66702533,83221703,-1,2025-12-05 02:32:00,CA,San Joaquin County,"ty, CA",37.868828,-121.29047
ACTIVE,136365 ,Truck,2020,T680 Tractor,369126,  Available,20.19%,Fully Working,Properly working,Enabled,66771876,84321738,-1,2025-12-05 06:16:00,CA,Oakland, 94607,37.805563,-122.299723
ACTIVE,136365 ,Truck,2022,T680 Sleeper Truck,469323,  Available,30.56%,Fully Working,Properly working,Enabled,26737317,82078470/84056523,1,2025-12-05 07:24:00,CA,Fresno, 93722,36.81154,-119.883135
ACTIVE,136382 ,Truck,2022,Cascadia PT126SLP,MC1398,  Available,45.83%,Fully Working,Properly working,Enabled,26736910,84308289,1,2025-12-05 08:16:00,NJ,Hampton, 08822,40.637032,-74.841147
ACTIVE,136403 ,Trailer,2017,RFALHS,978594,  Available,45.83%,Fully Working,Properly working,"",,84308372,-1,2025-12-05 08:34:00,FL,Daytona Beach, 32114,29.207998,-81.083795
ACTIVE,136403 ,Truck,2021,LT625 Sleeper,242328,  Available,36.67%,1x passtime,Driving disabled,Enabled,66277770,82159467,-1,2025-12-05 08:55:00,FL,Daytona Beach, 32114,29.206592,-81.083403
ACTIVE,136615 ,Truck,2020,Cascadia PT126SLP,LJ7723,  Available,45.83%,Fully Working,Properly working,Enabled,66757905,84308249,1,2025-12-05 07:06:00,MO,St. Joseph, 64507,39.72166,-90.421452
ACTIVE,136623 ,Truck,2021,LT625 Sleeper,279521,  Available,41.60%,Fully Working,Properly working,Enabled,26736658,84308363,1,2025-12-05 06:31:00,NV,Tracy, 95376,39.514168,-119.469597
ACTIVE,136694 ,Truck,2022,VNL 860 Sleeper,296771,  Available,37.50%,1x passtime,Disconnected,Disabled,26736693,84308301,1,2025-12-05 09:37:00,CA,San Bernardino County, 93706,36.740985,-117.115287
ACTIVE,136698 ,Truck,2019,Cascadia 125 SL,KG9551,  Available,45.83%,Fully Working,Properly working,Enabled,26737232,84090892,1,2025-12-05 09:18:00,OH,Ontario, 60827,41.651838,-82.617872
ACTIVE,136722 ,Truck,2022,W900,474622,  Available,36.67%,Fully Working,Properly working,Enabled,66757910,84308351,-1,2025-12-05 06:45:00,MI,Ypsilanti, 48130,42.296315,-83.611108
ACTIVE,136813 ,Truck,2022,Cascadia PT126SLP,MY2460,  Available,33.27%,Fully Working,Properly working,Disabled,66752189,84308303,-1,2025-12-05 05:33:00,CA,Bloomington Locality, 92316,34.055825,-117.395663
ACTIVE,136819 ,Truck,2020,Cascadia PT126SLP,LR0627,  Available,41.67%,1x passtime,Driving disabled,Enabled,66757929,84308255,1,2025-12-05 09:02:00,KS,Wichita, 62034,38.756665,-89.985515
ACTIVE,137016 ,Truck,2020,Cascadia PT126SLP,LP9269,  Available,37.50%,Fully Working,Properly working,Enabled,66757909,84275785,1,2025-12-05 07:02:00,CA,San Luis Obispo County, 91602,35.659542,-118.3730661
ACTIVE,137027 ,Truck,2020,VNL64T760,251299,  Available,37.50%,Fully Working,Properly working,Enabled,66757935,84276106,1,2025-12-05 05:45:00,LA,West Monroe, 71292,34.778882,-86.540185
ACTIVE,137027 ,Truck,2022,Cascadia PT126SLP,MF6376,  Available,1.92%,Fully Working,Properly working,Enabled,66770572,84230291,1,2025-12-05 04:37:00,CA,Fresno, 93722,36.805307,-119.877947
ACTIVE,137051 ,Truck,2019,LT Sleeper,173082,  Available,38.46%,1x encore,1x Moved,Enabled,66757811,84275806,-1,2025-12-05 05:32:00,CA,Fresno, 93706,36.742345,-119.832722
ACTIVE,137088 ,Truck,2021,Cascadia PT126SLP,MP2810,  Available,45.83%,Fully Working,Properly working,Enabled,26736691,84308375,-1,2025-12-04 17:29:00,IN,Indianapolis, 46217,39.705708,-86.18206
ACTIVE,137269 ,Truck,2020,Cascadia PT126SLP,KS3640,  Available,16.67%,Fully Working,Properly working,Enabled,66770548,82193509,1,2025-12-04 22:48:00,IN,Tredyffrin Township, 19087,40.116232,-75.438613
ACTIVE,137269 ,Truck,2022,Cascadia PT126SLP,MV2727,  Available,36.54%,Fully Working,Properly working,Enabled,66752183,84308297,1,2025-12-05 07:13:00,OH,Perrysburg, 43551,41.53438,-83.466905
ACTIVE,137389 ,Truck,2022,Cascadia PT126SLP,NE4166,  Available,23.72%,Fully Working,Properly working,Enabled,66757924,84276222,1,2025-12-05 08:24:00,CA,Modesto, 95351,37.623158,-120.984778
ACTIVE,137483 ,Truck,2021,Cascadia PT126SLP,MF7318,  Available,33.65%,Fully Working,Properly working,Enabled,66757941,84276247,1,2025-12-05 09:02:00,KY,Shepherdsville, 60134,41.89489,-85.696338
ACTIVE,137546 ,Truck,2020,Cascadia PT126SLP,KW3649,  Available,32.69%,1x passtime,Disconnected,Enabled,26736114,84276315,1,2025-12-05 01:01:00,CA,San Bernardino, 92230,34.201727,-116.751463
ACTIVE,137590 ,Truck,2023,Cascadia,NW8065,  Available,21.79%,Fully Working,Properly working,Enabled,66757839,84276150,-1,2025-12-05 09:01:00,CA,North Highlands, 95660,38.69951,-121.39753
ACTIVE,137638 ,Truck,2021,PT126SLP,MF7392,  Available,32.69%,1x passtime,Disconnected,Enabled,66757846,84276164,1,2025-12-04 22:13:00,WY,Sweetwater County, 82935,41.637147,-98.382422
ACTIVE,137656 ,Truck,2021,LT625 Sleeper,192528,  Available,22.44%,Fully Working,Properly working,Enabled,66762308,84333170,1,2025-12-05 03:12:00,KY,Shelby County, 40508,38.20602,-84.522658
ACTIVE,137663 ,Truck,2021,LT625 Sleeper,868900,  Available,31.73%,Fully Working,Properly working,Enabled,26737307,84276206,1,2025-12-05 03:56:00,WY,Sweetwater County, 82932,42.108265,-104.170068
ACTIVE,137674 ,Truck,2022,Cascadia PT126SLP,MY2538,  Available,32.69%,1x passtime,Driving disabled,Enabled,66762247,84333002,1,2025-12-05 04:26:00,PA,Rahway, 45324,40.988133,-74.265063
ACTIVE,137713 ,Full Van,2024,Transit 350 HD,B85751,  Available,16.35%,1x passtime,Driving disabled,Enabled,26736735,84276241,1,2025-12-05 08:30:00,NY,Valley Stream, 11430,40.67456,-73.72584
ACTIVE,137721 ,Truck,2022,Cascadia,LK2835,  Available,30.77%,Fully Working,Properly working,Enabled,66762244,84333208,-1,2025-12-05 08:24:00,CA,Manteca, 95337,37.759085,-121.204873
ACTIVE,137817 ,Truck,2022,Cascadia PT126SLP,NB9810,  Available,20.51%,Fully Working,Properly working,Enabled,66762110,84276244,1,2025-12-05 06:06:00,NM,Yucca, 73047,35.529505,-98.382847
ACTIVE,137829 ,Truck,2020,Cascadia PT126SLP,KD2355,  Available,26.92%,Fully Working,Properly working,Enabled,66762107,82083722/ 84276186,1,2025-12-05 07:28:00,OH,Strafford, 65757,39.519165,-83.846647
ACTIVE,137885 ,Truck,2021,LT625 Sleeper,201929,  Available,28.85%,Fully Working,Properly working,Enabled,66762128,84276114,1,2025-12-05 08:25:00,NV,Washoe County, 89431,39.579773,-119.471137
ACTIVE,137920 ,Truck,2019,Cascadia,KB5440,  Available,27.88%,Fully Working,Properly working,Enabled,66753837,84276220,1,2025-12-05 08:02:00,IN,Lathrop,"mp, CA",40.717138,-116.143832
ACTIVE,137927 ,Truck,2022,Cascadia,NE4007,  Available,19.23%,Fully Working,Properly working,Enabled,66762143,84276123,1,2025-12-05 04:55:00,PA,Indianapolis, 46235,41.182095,-79.681318
ACTIVE,137939 ,Truck,2020,T680 Sleeper Truck,225649,  Available,29.56%,1x passtime,Driving disabled,Enabled,66762125,84276251,1,2025-12-05 03:49:00,CA,Bakersfield, 93313,35.331978,-118.977572
ACTIVE,137982 ,Truck,2018,Cascadia PT126SLP,JH6734,  Available,38.46%,Fully Working,Properly working,Enabled,26317399,82153152,-1,2025-12-05 08:24:00,AL,Dothan, 36303,31.247233,-85.379362
ACTIVE,137991 ,Truck,2021,LT625 Sleeper,102712,  Available,27.88%,Fully Working,Properly working,Enabled,66762113,84276229,1,2025-12-05 00:22:00,PA,Cheshire Village, 06410,41.537207,-72.899397
ACTIVE,138000 ,Truck,2021,LT Sleeper,063247,  Available,25.96%,Fully Working,Properly working,Enabled,66753316,84276246,-1,2025-12-05 02:21:00,CA,Madera, 93637,36.985942,-120.09056
ACTIVE,138062 ,Truck,2019,Cascadia 125 SL,KN5610,  Available,26.92%,2x encores,Repair Shop,Enabled,66762108,84276211,-1,2025-12-05 06:34:00,CA,Ceres, 95307,37.579258,-120.977957
ACTIVE,138077 ,Truck,2022,Cascadia PT126SLP,MF9324,  Available,26.92%,Fully Working,Properly working,Enabled,66762161,84333226,1,2025-12-05 09:09:00,NY,New York, 10469,40.862912,-73.836008
ACTIVE,138092 ,Truck,2021,PT126SLP,MF6989,  Available,26.92%,Fully Working,Properly working,Enabled,66754040,84276126,1,2025-12-05 09:19:00,MA,Westfield, 01085,42.16839,-72.74034
ACTIVE,138095 ,Truck,2022,PT126SLP,NB5517,  Available,17.95%,Fully Working,Properly working,Enabled,66762337,84333279,1,2025-12-05 00:18:00,IN,Indianapolis, 46225,39.725217,-86.173668
ACTIVE,138118 ,Truck,2022,PT126SLP,NB5256,  Available,17.95%,Fully Working,Properly working,Enabled,66762104,84321609,1,2025-12-05 05:08:00,PA,Danbury, 06810,41.415225,-73.435632
ACTIVE,138134 ,Truck,2019,PT126SLP,KN7575,  Available,25.96%,Fully Working,Properly working,Enabled,66762122,84276205,-1,2025-12-05 08:27:00,CA,Madera County, 93637,36.85368,-119.951123
ACTIVE,138192 ,Truck,2020,X12564ST,LJ2851,  Available,22.12%,1x passtime,Disconnected,Disabled,66762098,84276257,1,2025-12-05 08:15:00,AZ,Kingman, 86413,35.144003,-114.094785
ACTIVE,138211 ,Truck,2022,Cascadia PT126SLP,NM2913,  Available,25.00%,Fully Working,Properly working,Enabled,66762334,84321709,1,2025-12-05 09:37:00,LA,Waverly, 71232,33.541638,-86.734262
ACTIVE,138212 ,Truck,2022,Cascadia PT126SLP,MX0237,  Available,16.67%,Fully Working,Properly working,Enabled,66762371,84321718,1,2025-12-05 07:34:00,TX,Irving, 75063,32.903492,-96.9938922
ACTIVE,138271 ,Truck,2022,Cascadia PT126SLP,NA1351,  Available,25.00%,1x passtime,Starter disconnected,Enabled,66762026,84321637,1,2025-12-05 07:35:00,CA,Tulare, 95206,37.910137,-119.325488
ACTIVE,138352 ,Truck,2022,Cascadia PT126SLP,NE9231,  Available,15.38%,Fully Working,Properly working,Enabled,66762372,84321643,-1,2025-12-05 04:17:00,CA,San Bernardino County, 92407,34.200878,-117.375195
ACTIVE,138360 ,Truck,2021,LT625 Sleeper,223103,  Available,22.12%,Fully Working,Properly working,Enabled,26714122,83611739,1,2025-12-05 08:17:00,CA,Delhi, 95315,37.435928,-120.79499
ACTIVE,138391 ,Truck,2020,Cascadia PT126SLP,KB5246,  Available,23.08%,Fully Working,Properly working,Enabled,66762354,84321740,-1,2025-12-05 07:44:00,GA,Vega, 79092,35.269193,-102.555533
ACTIVE,138437 ,Truck,2021,Cascadia PT126SLP,MA3530,  Available,22.12%,Fully Working,Properly working,Enabled,66771640,84321741,1,2025-12-05 05:29:00,NC,Wildwood, 28214,35.322607,-80.842423
ACTIVE,138443 ,Truck,2023,Cascadia PT126SLP,NW7843,  Available,15.38%,Fully Working,Properly working,Enabled,66762121,84321750,1,2025-12-05 07:51:00,CA,Victorville, 92395,34.480888,-117.305285
