company_name,region,phone,contact,email,website,availability,notes,city,state,zip,category,type,authorization,address,status,lat,long
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Woodbriudge,Virginia (VA),22191,GPS Technician,,,,,46.137599,-94.859985
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Lyndhurst,New Jersey (NJ),07031,GPS Technician,,,,,44.378879,-119.717129
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Boston,Massachusetts (MA),02108,GPS Technician,,,,,46.563650,-100.991984
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Boone,North Carolina (NC),28607,GPS Technician,,,,,30.339346,-120.811643
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,West Palm Beach,Florida (FL),33401,GPS Technician,,,,,42.315710,-81.633850
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Walden,New York (NY),12586,GPS Technician,,,,,28.700190,-114.018860
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Pittsford,New York (NY),14534,GPS Technician,,,,,36.258236,-79.037085
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Philadelphia,Pennsylvania (PA),19019,GPS Technician,,,,,31.005349,-109.072732
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Monroe,New York (NY),10949,GPS Technician,,,,,44.601421,-79.442447
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Ann Arbor,Michigan (MI),48103,GPS Technician,,,,,47.479469,-88.898037
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Brooklyn,New York (NY),11201,GPS Technician,,,,,27.620340,-73.391080
A2Z Mobile installations - Steve Boland,,845-476-5766,,steve@a2zmobileinstallation.com,,,,Pittsburgh,Pennsylvania (PA),15120,GPS Technician,,,,,25.646095,-101.252122
AAA Towing of Jackson,WY - Jackson,307-733-4040,Manager,dispatch@aaajacksontowing.com,https://aaajacksontowing.com,24/7,Luxury vehicle transport,Jackson,WY,83001,Towing,,,,,46.254928,-118.786398
"Ace Towing, Inc.",West Coast,541-884-9388,Dispatch,No@gmail.com,klamath.org,24/7,Heavy Duty/Winch-outs,Klamath Falls,OR,97601,Towing,,,,,26.753528,-101.697817
Adam Gersh (Independent),,954-263-7513,,N/A,,,Serves Southern FL,N/A,Florida (FL),N/A,GPS Technician,,,,,26.736450,-118.085553
Adam Nealon (Independent),,630-854-5706,,adam.installs@gmail.com,,,,Chicago,Illinois (IL),60164,GPS Technician,,,,,27.224024,-120.872787
Adriana Moore,Plains,282-555-4733,,adriana.moore@fleetinspect.com,,,Frame & chassis,Los Angeles,MT,32236,inspector,,,,Inactive,38.615704,-83.771560
Adriana Thomas,South,402-555-2978,,adriana.thomas@fleetinspect.com,,,Refrigerated truck specialist,Phoenix,NM,24996,inspector,,,,Active,41.662049,-123.983601
Adriana Wright,Mountain,269-555-5742,,adriana.wright@fleetinspect.com,,,On leave,Detroit,NJ,49636,inspector,,,,Inactive,37.748334,-76.729054
Aisha Anderson,Northeast,468-555-6724,,aisha.anderson@fleetinspect.com,,,On leave,Seattle,GA,30069,inspector,,,,Active,33.436011,-97.015122
Aisha Chen,Plains,935-555-1636,,aisha.chen@fleetinspect.com,,,Fast response,Salt Lake City,TN,41335,inspector,,,,Active,48.411514,-77.798309
Aisha Gomez,Mid-Atlantic,428-555-5350,,aisha.gomez@fleetinspect.com,,,On leave,Miami,NM,15883,inspector,,,,Inactive,44.244219,-107.019566
Aisha Miller,South Florida,295-555-2157,,aisha.miller@fleetinspect.com,,,Audit prep,Kansas City,FL,83540,inspector,,,,Active,35.725934,-92.261783
Aisha Navarro,Central USA,305-555-8573,,aisha.navarro@fleetinspect.com,,,Audit prep,San Francisco,OH,60940,inspector,,,,Active,29.408795,-113.374139
Aisha Patel,Midwest,773-555-8841,,a.patel@techlocinspections.com,,,On leave,Chicago,IL,60601,inspector,,,,Inactive,34.800269,-94.637749
Aisha Ramirez,Central USA,317-555-2829,,aisha.ramirez@fleetinspect.com,,,Audit prep,Seattle,IL,44073,inspector,,,,Active,47.841119,-68.682496
Aisha Taylor,Pacific Northwest,477-555-2207,,aisha.taylor@fleetinspect.com,,,ECM diagnostics,Houston,UT,24287,inspector,,,,Inactive,38.145818,-124.270667
Aisha White,Southwest,265-555-9551,,aisha.white@fleetinspect.com,,,DOT level 1 certified,Kansas City,GA,13352,inspector,,,,Inactive,43.454823,-102.011665
Alamo City Locksmith,Central,210-555-4949,Owner,support@alamocitylock.com,,24/7,Cajas fuertes anti-robo,San Antonio,TX,78205,Locksmiths,,,,,25.410018,-70.733471
Alan Long (Long Mobile LLC),,860-202-8739,,N/A,,,,N/A,Massachusetts (MA),N/A,GPS Technician,,,,,26.736450,-118.085553
Alexander Stein (Independent),,505-728-8822,,N/A,,,,Ontario,California (CA),N/A,GPS Technician,,,,,31.584366,-96.531862
Alexander Stein (Independent),,505-728-8822,,N/A,,,,Fontana,California (CA),N/A,GPS Technician,,,,,26.939533,-78.642289
Allure Towing,WY - Casper,307-265-8888,Dispatch,dispatch@alluretowing.com,https://alluretowing.com,24/7,Towing and recovery,Casper,WY,82601,Towing,,,,,30.209604,-121.328077
Aloha Lock & Key,West Coast,808-555-6767,Tech,info@alohalocks.com,,09:00-17:00,Hoteles y complejos tur�sticos,Honolulu,HI,96813,Locksmiths,,,,,41.641004,-83.344618
Always Available Towing,WY - Casper,307-259-2191,Owner,dispatch@alwaysavailable.com,https://alwaysavailablecasper.com,24/7,Fast response time,Casper,WY,82609,Towing,,,,,45.342836,-115.118475
American Towing Service,FL - Hialeah Gardens,305-558-8080,Dispatch,dispatch@americantowingservice.net,https://www.americantowingflorida.com,24/7,Rotator service and police trusted,Hialeah Gardens,FL,33018,Towing,,,,,39.497104,-77.891545
Anderson Lock and Safe,West Coast,602-973-0343,Sales,service@andersonlockandsafe.com,,24/7,Arizona comercial y cajas,Phoenix,AZ,85016,Locksmiths,,,,,44.708453,-124.267382
Andrysik Install Service (Bryan Andrysik),,402-208-2595,,andrysikinstall@gmail.com,,,,Council Bluffs,Iowa (IA),N/A,GPS Technician,,,,,31.668331,-82.868962
Andrysik Install Service (Bryan Andrysik),,402-208-2595,,andrysikinstall@gmail.com,,,,Omaha,Nebraska (NE),N/A,GPS Technician,,,,,29.900365,-86.548682
Arch City Locksmith,Central,314-555-0101,Owner,info@archcitylock.com,,24/7,Apertura sin da�os,St. Louis,MO,63101,Locksmiths,,,,,33.393812,-107.782288
Aris,,(267) 251-4723,,,,,,Philadelphia,Pennsylvania (PA),N/A,GPS Technician,,,,,29.623997,-97.828220
Arrow Ridge Wrecker,NC - Charlotte,704-523-6622,Dispatch,dispatch@arrowridgewrecker.com,https://arrowridgewrecker.com,24/7,Heavy recovery in South Charlotte,Charlotte,NC,28273,Towing,,,,,26.396774,-122.399206
Arroyo Seco Locks,West Coast,626-555-1919,Tech,info@arroyosecolocks.com,,24/7,Cerraduras hist�ricas y de dise�o,Pasadena,CA,91101,Locksmiths,,,,,43.394972,-121.422049
Arthur M. (Independent),,713-271-3700 / 832-573-2222,,htownmob@hotmail.com,,,,Houston,Texas (TX),N/A,GPS Technician,,,,,39.601289,-111.059484
Atl Deluxe Towing,GA - Atlanta,470-292-8713,Manager,atlantadeluxe@gmail.com,https://atldeluxetowing.com,24/7,Specialists in buses and commercial fleets,Atlanta,GA,30354,Towing,,,,,25.802994,-121.710844
ATL Heavy Towing,GA - Atlanta,470-460-0785,Dispatch,dispatch@atlheavytowing.com,https://atlheavytowing.com,24/7,Over 27 years of recovery experience,Atlanta,GA,30318,Towing,,,,,43.791245,-105.586662
Atlas Load Desk,ID - Boise,235-555-9604,Maria King,service650@atlasloaddesk.com,,24/7,Escalations & after-hours,Miami,CA,70537,Dispatcher,,,,,35.127648,-108.355567
Atlas Load Desk,NE - Raleigh,433-555-4658,Noah Young,service394@atlasloaddesk.com,,Mon-Sat,Dedicated fleet support,Salt Lake City,TX,30269,Dispatcher,,,,,30.427371,-102.956630
Atlas Load Desk,FL - Minneapolis,326-555-8272,Maria Moore,service236@atlasloaddesk.com,,Mon-Fri,Insurance liaison,Nashville,MO,28388,Dispatcher,,,,,41.860671,-89.338562
Atlas Load Desk,MN - Austin,325-555-7722,Jordan Ramirez,service170@atlasloaddesk.com,,Mon-Fri,Spanish + English support,New York,OR,92160,Dispatcher,,,,,28.607786,-73.555619
Atlas Load Desk,NV - Chicago,227-555-5510,Noah Ramirez,service605@atlasloaddesk.com,,Mon-Sat,Multi-tenant routing,Tucson,CA,87420,Dispatcher,,,,,41.736576,-101.288464
Atlas Load Desk,NY - San Antonio,389-555-5202,Jordan Young,service72@atlasloaddesk.com,,Mon-Sat,Cross-country routing,Omaha,CA,35469,Dispatcher,,,,,26.365284,-69.768609
Atlas Load Desk,MI - Raleigh,992-555-9638,Noah Diaz,service515@atlasloaddesk.com,,24/7 + Hotshots,Insurance liaison,Salt Lake City,OR,19663,Dispatcher,,,,,27.403896,-69.666571
Atlas Load Desk,ID - Minneapolis,465-555-7520,Ryan Brooks,service708@atlasloaddesk.com,,Mon-Fri,Port delivery coordination,San Diego,MO,56392,Dispatcher,,,,,46.369274,-72.989873
Atlas Load Desk,MO - Orlando,236-555-2533,Carla Chen,service90@atlasloaddesk.com,,Weekdays + Emergency,Hazmat load handling,Omaha,ID,23683,Dispatcher,,,,,47.160796,-87.488669
Aurora Locksmith,West Coast,907-555-4545,Dispatch,aurora@aklocks.com,,24/7,Cajas fuertes resistentes al clima,Anchorage,AK,99501,Locksmiths,,,,,40.300426,-78.379262
Auto Medics Towing,WY - Evanston,307-789-7222,Owner,info@automedicstowing.com,https://automedicswy.com,24/7,I-80 recovery experts,Evanston,WY,82930,Towing,,,,,31.103718,-105.204656
Ava King,Mid-Atlantic,836-555-3093,,ava.king@fleetinspect.com,,,ECM diagnostics,Dallas,IA,67467,inspector,,,,Inactive,34.251076,-115.302401
Ava Martinez,Southwest,227-555-4542,,ava.martinez@fleetinspect.com,,,DOT level 1 certified,Phoenix,WI,37187,inspector,,,,Inactive,24.632569,-74.242520
Ava Walker,Gulf Coast,273-555-6612,,ava.walker@fleetinspect.com,,,On leave,Miami,CA,99996,inspector,,,,Inactive,37.860811,-107.346002
Aviles Brothers,West Coast,619-671-0262,,avilesbros@hotmail.com,https://aviles-brothers.com/,09:00 - 18:00,Company found by Roy,San Diego,CA,92154,Towing,,,,,47.410488,-122.401441
B.C. Towing Inc,West Coast,503-375-0035,,,bctowing.com,24/7,,Salem,OR,97302,Towing,,,,,34.324152,-69.055995
B&B Towing,MA - Cambridge,617-492-5781,Dispatch,bbtowing@aol.com,https://www.bbtowinginc.com,24/7,Heavy duty in Boston metro area,Cambridge,MA,2140,Towing,,,,,30.133482,-75.591258
Baker & Baker Heavy Duty Towing & Semi Truck Towing,West Coast,503-563-8816,,,https://towing-woodburn.com/,24/7,,Salem,OR,97310,Towing,,,,,33.543898,-81.202453
Bakersfield Truck Center,West Coast,(661) 393-6950,Sales Dept,info@californiatruckcenters.com,,,Under CCTTS Group,Bakersfield,CA,93308,dealer/auction,Dealer,,"8140 Golden State Hwy, Bakersfield, CA 93308",,39.482190,-103.267750
Bauer Built Tire,,515-265-6041,,desmoines@bauerbuilt.com,https://www.bauerbuilt.com,,Competencia fuerte en el Midwest.,Des Moines,IA,50317,Tires Services,,,,,38.666188,-103.108687
Bauer Built Tire,,715-672-4295,,dispatch@bauerbuilt.com,https://www.bauerbuilt.com,,Especialistas en agricultura y OTR.,Durand,WI,54736,Tires Services,,,,,28.345863,-115.120864
Bay Area Locksmith,West Coast,408-768-4545,Dispatch,info@bayarealock.com,,24/7,Silicon Valley tech security,San Jose,CA,95112,Locksmiths,,,,,38.371399,-70.482407
Bay State Locks,East Coast,401-555-5050,Dispatch,info@baystatelocks.com,,24/7,Servicio de emergencia residencial,Providence,RI,2906,Locksmiths,,,,,35.750497,-122.516039
Beasley Tire Service,,281-449-2365,,dispatch@beasleytire.com,https://www.beasleytire.com,,Expertos en Oil & Gas fleets.,Houston,TX,77032,Tires Services,,,,,25.453889,-67.973411
Beasley Tire Service,,210-661-8473,,sanantonio@beasleytire.com,https://www.beasleytire.com,,Cobertura sur de Texas I-35/I-10.,San Antonio,TX,78219,Tires Services,,,,,33.731175,-69.495518
Beaver State Locks,West Coast,503-555-9292,Dispatch,info@beaverstatelocks.com,,24/7,Seguridad para tiendas de bicicletas y exteriores,Portland,OR,97214,Locksmiths,,,,,33.730880,-109.393540
Bee Equipment Sales,West Texas,(806) 745-1511,Sales,sales@beeequipmentsales.com,,,Heavy Equipment & Hauling,Lubbock,TX,79404,dealer/auction,Sales Yard,,2506 Slaton Hwy,,31.599917,-108.345264
Benito Matias (845 Automotive Installers),,845-645-2235,,845automotiveinstallers@gmail.com,,,,N/A,New York (NY),N/A,GPS Technician,,,,,26.736450,-118.085553
Berwanger Installation (Harold),,214-288-7509,,N/A,,,,Dallas,Texas (TX),N/A,GPS Technician,,,,,34.919687,-123.530303
Berwanger Installation (Harold),,214-288-7509,,N/A,,,,Fort Worth,Texas (TX),N/A,GPS Technician,,,,,25.281676,-103.917373
Best-One Tire & Service,,812-282-4799,,dispatch@bestonetire.com,https://www.bestonetire.com,,Gran red de independientes.,Jeffersonville,IN,47130,Tires Services,,,,,34.699512,-114.357725
Best-One Tire & Service,,513-772-8473,,cincy@bestonetire.com,https://www.bestonetire.com,,Corredor I-75 muy activo.,Cincinnati,OH,45246,Tires Services,,,,,30.851352,-89.990617
Big Al's Towing,WY - Cheyenne,307-632-6789,Manager,service@bigalstowing.com,https://bigalstowing.net,24/7,Rotator service available,Cheyenne,WY,82007,Towing,,,,,42.354860,-117.844394
Big D Towing,WA - Seattle,206-362-9049,Dispatch,dispatch@bigdtowing.com,https://www.bigdtowing.com,Mon-Sat,Heavy truck specialists in Puget Sound,Seattle,WA,98125,Towing,,,,,45.713914,-69.551613
Big Island Keys,West Coast,808-555-9595,Manager,info@bigislandkeys.com,,24/7,Servicio de cerrajer�a en zonas remotas,Kailua-Kona,HI,96740,Locksmiths,,,,,36.762268,-68.350419
Big Red Towing,NY - Syracuse,315-413-0911,Dispatch,dispatch@bigredtowing.com,https://www.bigredtowing.com,24/7,Heavy recovery in Upstate NY,Syracuse,NY,13209,Towing,,,,,48.494067,-100.952302
Big Sky Keys,Mountain,406-555-5959,Manager,info@bigskykeys.com,,09:00-17:00,Cerraduras para caba�as y ranchos,Missoula,MT,59801,Locksmiths,,,,,45.229248,-115.667374
Big Tows Inc,NY - Spring Valley,845-352-0999,Owner,dispatch@bigtowsinc.com,https://www.bigtowsinc.com,24/7,Heavy duty coverage in NY and North NJ,Spring Valley,NY,10977,Towing,,,,,36.229099,-68.762105
Billy Holt,,210-724-2455,,,,,,San Antonio,Texas (TX),78259,GPS Technician,,,,,46.378197,-116.828102
Bital Installation Service (Anario Bital),,310-908-6611,,N/A,,,Does not want to work with us; Based in CA,N/A,California (CA),N/A,GPS Technician,,,,,26.736450,-118.085553
Black Hills Towing,WY - Hulett,307-467-5555,Dispatch,service@blackhillstowing.com,https://blackhillstowing.com,24/7,Serving Devils Tower area,Hulett,WY,82720,Towing,,,,,37.656292,-120.846757
Black's Tire Service,,910-642-4123,,info@blackstire.com,https://www.blackstire.com,,Servicio local muy confiable.,Whiteville,NC,28472,Tires Services,,,,,31.507696,-119.790088
Black's Tire Service,,843-449-5000,,myrtlebeach@blackstire.com,https://www.blackstire.com,,Rescate en carretera costera.,Myrtle Beach,SC,29577,Tires Services,,,,,43.866065,-109.751759
Bluegrass Locksmith,East Coast,859-555-3434,Manager,info@bluegrasslock.com,,24/7,Seguridad para granjas de caballos,Lexington,KY,40507,Locksmiths,,,,,26.855843,-71.498693
BluePeak Logistics,MN - San Antonio,500-555-7361,Ryan Young,service62@bluepeaklogistics.com,,Mon-Fri,Overnight dispatch,Minneapolis,ID,49972,Dispatcher,,,,,28.988316,-88.169778
BluePeak Logistics,NY - Charlotte,601-555-6199,Carla Moore,service205@bluepeaklogistics.com,,Mon-Fri,Escalations & after-hours,Portland,MN,75787,Dispatcher,,,,,27.493561,-96.316092
BluePeak Logistics,MO - Austin,794-555-5491,Daniela Young,service746@bluepeaklogistics.com,,Mon-Fri,Spanish + English support,Dallas,PA,40204,Dispatcher,,,,,30.620502,-92.994926
BluePeak Logistics,OR - Omaha,965-555-1951,Carla Brooks,service674@bluepeaklogistics.com,,Mon-Sat,Hazmat load handling,Cleveland,TN,25304,Dispatcher,,,,,46.498786,-116.589820
BluePeak Logistics,NE - Omaha,261-555-5452,Ethan Chen,service785@bluepeaklogistics.com,,Mon-Fri,Spanish + English support,Seattle,GA,81445,Dispatcher,,,,,28.209621,-114.255105
BluePeak Logistics,AZ - Charlotte,552-555-5852,Sophia Ramirez,service115@bluepeaklogistics.com,,Mon-Fri,Overnight dispatch,Chicago,TN,14017,Dispatcher,,,,,34.341163,-93.220384
BluePeak Logistics,MN - Boise,228-555-6335,Noah Lopez,service34@bluepeaklogistics.com,,Weekdays + Emergency,Port delivery coordination,Chicago,GA,17116,Dispatcher,,,,,41.450102,-120.559784
BluePeak Logistics,OR - Chicago,951-555-8419,Taylor Moore,service382@bluepeaklogistics.com,,24/7 + Hotshots,Dedicated fleet support,Salt Lake City,AZ,19486,Dispatcher,,,,,25.466815,-67.204913
Bluff City Keys,South,901-555-4747,Dispatch,info@bluffcitykeys.com,,24/7,Duplicado de llaves para camiones,Memphis,TN,38103,Locksmiths,,,,,49.033537,-111.374731
BM Towing,OH - Columbus,614-208-7804,Dispatch,bmtowingdispatch@gmail.com,https://bmtowingohio.com,24/7,Heavy towing and mobile diesel repair,Columbus,OH,43228,Towing,,,,,31.239968,-80.841745
Boise Towing,Mountain West,208-362-2047,Dispatch,boisetowingllc@gmail.com,boisetowingllc.com,24/7,Accident Recovery,Boise,ID,83709,Towing,,,,,25.259627,-104.014738
Borderplex Locks,Central,915-555-6666,Owner,service@borderplexlocks.com,,24/7,Cerraduras para cruces fronterizos,El Paso,TX,88501,Locksmiths,,,,,25.915012,-76.074998
Boston Lock & Safe,East Coast,617-787-3400,Tech Lead,service@bostonlock.com,,08:00-18:00,Cajas fuertes y alta seguridad,Boston,MA,2134,Locksmiths,,,,,48.196738,-75.184489
Boston Towing,MA - Boston,617-958-8733,Dispatch,dispatch@boston-ma-towing.com,https://www.boston-ma-towing.com,24/7,Heavy hauling and machinery moving,Boston,MA,2127,Towing,,,,,31.269977,-113.555194
Brad's Towing & Recovery,MO - Kansas City,816-673-8940,Dispatch,dispatch@bradstowingkc.com,https://www.bradstowingkc.com,24/7,Accident recovery and municipal towing,Kansas City,MO,64116,Towing,,,,,49.382360,-96.008346
Bradley's Truck Service,NC - Charlotte,704-596-9277,Dispatch,dispatch@bradleystruckservice.com,https://www.bradleystruckservice.com,24/7,Accident recovery and diesel delivery,Charlotte,NC,28269,Towing,,,,,42.881223,-75.189525
Broadway Locksmith,East Coast,917-555-7777,Tech,info@broadwaylocksmith.com,,24/7,Seguridad para teatros y salas de eventos,New York,NY,10036,Locksmiths,,,,,46.957739,-114.310090
Brooklyn On-Site Repair,NY - Brooklyn,516-636-2207,Dispatch,support@brooklynnytruckrepair.com,,24/7,Especialistas en Diesel y HVAC m�vil,Brooklyn,NY,11201,Repair Shop,,,,,27.620340,-73.391080
Bruckner's,Southwest,(575) 392-7571,Sales Dept,info@brucknertruck.com,,,Mack & Volvo Dealer,Hobbs,NM,88240,dealer/auction,Authorized,,2121 NW County Road,,34.529401,-83.047709
Bruckner's Truck & Equipment,Southwest,(505) 843-6386,Sales Dept,info@brucknertruck.com,,,Mack & Volvo Dealer,Albuquerque,NM,87121,dealer/auction,Authorized,,8101 Daytona Rd NW,,42.676976,-112.416458
Bullock's Towing,Mountain West,(801) 531-9256,Dispatch,info@bullockstowing.com,bullockstowing.com,24/7,Heavy Recovery Specialist,Salt Lake City,UT,84104,Towing,,,,,40.672880,-107.929073
C & C Towing,WY - Casper,307-235-5333,Service Mgr,info@cnctowing.com,https://cnctowing.com,24/7,Long distance towing,Casper,WY,82604,Towing,,,,,49.012675,-102.784975
Callaghan Tire,,941-746-6188,,service@callaghantire.com,https://www.callaghantire.com,,Especialistas en gr�as y portuarios.,Bradenton,FL,34208,Tires Services,,,,,25.701208,-98.278204
Callaghan Tire,,305-887-7358,,miami@callaghantire.com,https://www.callaghantire.com,,Cobertura Puerto de Miami.,Miami,FL,33166,Tires Services,,,,,29.861277,-85.482890
Camila Chen,Northeast,488-555-7842,,camila.chen@fleetinspect.com,,,Refrigerated truck specialist,Detroit,OK,48457,inspector,,,,Inactive,26.632036,-94.602383
Camila Gomez,Gulf Coast,730-555-1756,,camila.gomez@fleetinspect.com,,,Hazmat cert,Des Moines,GA,24443,inspector,,,,Inactive,35.524315,-73.911567
Camila Moore,Plains,489-555-9502,,camila.moore@fleetinspect.com,,,ADAS calibrations,Des Moines,TX,59676,inspector,,,,Inactive,44.225042,-74.969217
Camila Taylor,Central USA,853-555-1078,,camila.taylor@fleetinspect.com,,,ADAS calibrations,Nashville,OK,85380,inspector,,,,Active,31.926604,-83.758985
Camila Thomas,Mid-Atlantic,451-555-8996,,camila.thomas@fleetinspect.com,,,Refrigerated truck specialist,Boise,VA,20913,inspector,,,,Inactive,24.945819,-118.267959
Cape Fear Locksmith,East Coast,910-555-4343,Dispatch,support@capefearlock.com,,24/7,Sistemas de seguridad para embarcaciones,Wilmington,NC,28401,Locksmiths,,,,,30.226287,-90.086374
Capital City Keys,East Coast,804-555-9012,Dispatch,help@capitalcitykeys.com,,24/7,Automotriz y residencial,Richmond,VA,23220,Locksmiths,,,,,35.354256,-103.260674
Capital City Lock AK,West Coast,907-555-9494,Owner,contact@capitallockak.com,,09:00-17:00,Cajas fuertes para oro y objetos de valor,Juneau,AK,99801,Locksmiths,,,,,34.241398,-77.773412
Capital City Lock AL,South,334-555-4646,Manager,contact@capitallockal.com,,24/7,Cerraduras para el sector agr�cola,Montgomery,AL,36104,Locksmiths,,,,,46.880843,-121.420822
Capital City Lock NC,East Coast,984-555-6969,Tech,service@capitallocknc.com,,24/7,Cerraduras para escuelas p�blicas,Raleigh,NC,27603,Locksmiths,,,,,45.680524,-113.538513
Capital Key Solutions,Central,512-555-1313,Manager,service@capitalkeysol.com,,24/7,Cerraduras para empresas de tecnolog�a,Austin,TX,78701,Locksmiths,,,,,27.339396,-68.619184
Capital Lock NJ,East Coast,609-555-3333,Dispatch,help@capitallocknj.com,,24/7,Cerraduras para agencias gubernamentales,Trenton,NJ,8608,Locksmiths,,,,,27.553662,-117.174302
Capital Towing,OH - Columbus,614-272-1800,Dispatch,dispatch@towgroup.com,https://capitaltowing.com,24/7,Expert solutions for heavy challenges,Columbus,OH,43223,Towing,,,,,26.685444,-98.126829
CargoWave Control,TX - Las Vegas,325-555-1396,Jordan Young,service630@cargowavecontrol.com,,Weekdays + Emergency,Port delivery coordination,Memphis,MN,54515,Dispatcher,,,,,46.563378,-89.753317
CargoWave Control,WA - Detroit,305-555-5443,Avery Hall,service556@cargowavecontrol.com,,24/7,Port delivery coordination,Raleigh,AZ,49940,Dispatcher,,,,,48.996915,-79.390467
CargoWave Control,UT - Miami,420-555-9414,Alex Chen,service40@cargowavecontrol.com,,Mon-Sat,Routes field partners,Chicago,MI,53081,Dispatcher,,,,,41.963684,-117.401178
CargoWave Control,NC - Kansas City,841-555-2567,Camila Hall,service323@cargowavecontrol.com,,Mon-Fri,Load board management,Tucson,UT,31804,Dispatcher,,,,,32.511260,-70.849370
CargoWave Control,CO - Atlanta,945-555-9102,Luis Hall,service752@cargowavecontrol.com,,24/7,Multi-tenant routing,Cleveland,NC,70784,Dispatcher,,,,,29.852344,-67.330393
CargoWave Control,OH - Portland,719-555-9738,Isabella Chen,service413@cargowavecontrol.com,,24/7 + Hotshots,Spanish + English support,San Antonio,MO,78308,Dispatcher,,,,,43.228484,-97.256846
CargoWave Control,OH - San Francisco,574-555-6410,Luis King,service585@cargowavecontrol.com,,Weekdays + Emergency,High-volume brokerage,Houston,UT,59728,Dispatcher,,,,,40.466670,-105.518097
CargoWave Control,CO - Detroit,619-555-1230,Daniela King,service324@cargowavecontrol.com,,24/7,Spanish + English support,Nashville,ID,20880,Dispatcher,,,,,26.484136,-85.424549
CargoWave Control,NE - Tucson,913-555-7275,Sophia Chen,service892@cargowavecontrol.com,,Weekdays + Emergency,Insurance liaison,Colorado Springs,TN,80365,Dispatcher,,,,,34.139997,-85.203276
CargoWave Control,NY - Tucson,963-555-8835,Ryan Brooks,service747@cargowavecontrol.com,,24/7 + Hotshots,Spanish + English support,Las Vegas,FL,41927,Dispatcher,,,,,49.308006,-80.126636
CargoWave Control,TN - Buffalo,778-555-9455,Camila Diaz,service49@cargowavecontrol.com,,24/7,Team drivers pairing,Austin,MN,85560,Dispatcher,,,,,39.513715,-97.248270
